/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(

🧪 MULTIPLE PROPOSITION TEST

================================================================================
TESTING PIPELINE ON 200 DIVERSE PROPOSITIONS
================================================================================

[1/202] Loading 200 random propositions...
   Found 49 already-analyzed propositions, skipping those...
     - ID 1078: confidence=9/10, len=126 chars
     - ID 1077: confidence=8/10, len=156 chars
     - ID 1076: confidence=7/10, len=149 chars
     - ID 1075: confidence=6/10, len=119 chars
     - ID 1074: confidence=8/10, len=132 chars
     - ID 1073: confidence=9/10, len=158 chars
     - ID 1072: confidence=6/10, len=148 chars
     - ID 1071: confidence=8/10, len=112 chars
     - ID 1070: confidence=7/10, len=121 chars
     - ID 1069: confidence=9/10, len=153 chars
     - ID 1068: confidence=8/10, len=163 chars
     - ID 1067: confidence=8/10, len=175 chars
     - ID 1066: confidence=7/10, len=162 chars
     - ID 1065: confidence=8/10, len=166 chars
     - ID 1064: confidence=8/10, len=123 chars
     - ID 1063: confidence=9/10, len=148 chars
     - ID 1062: confidence=7/10, len=139 chars
     - ID 1061: confidence=6/10, len=132 chars
     - ID 1060: confidence=7/10, len=148 chars
     - ID 1059: confidence=9/10, len=159 chars
     - ID 1058: confidence=8/10, len=96 chars
     - ID 1057: confidence=6/10, len=111 chars
     - ID 1056: confidence=8/10, len=118 chars
     - ID 1055: confidence=7/10, len=142 chars
     - ID 1054: confidence=8/10, len=95 chars
     - ID 1053: confidence=9/10, len=131 chars
     - ID 1052: confidence=5/10, len=145 chars
     - ID 1051: confidence=6/10, len=151 chars
     - ID 1050: confidence=7/10, len=126 chars
     - ID 1049: confidence=8/10, len=148 chars
     - ID 1048: confidence=9/10, len=143 chars
     - ID 1047: confidence=6/10, len=157 chars
     - ID 1046: confidence=7/10, len=118 chars
     - ID 1045: confidence=8/10, len=130 chars
     - ID 1044: confidence=8/10, len=146 chars
     - ID 1043: confidence=9/10, len=187 chars
     - ID 1042: confidence=6/10, len=130 chars
     - ID 1041: confidence=7/10, len=98 chars
     - ID 1040: confidence=8/10, len=127 chars
     - ID 1039: confidence=8/10, len=97 chars
     - ID 1038: confidence=9/10, len=135 chars
     - ID 1037: confidence=7/10, len=105 chars
     - ID 1036: confidence=6/10, len=124 chars
     - ID 1035: confidence=7/10, len=143 chars
     - ID 1034: confidence=8/10, len=137 chars
     - ID 1033: confidence=9/10, len=139 chars
     - ID 1032: confidence=6/10, len=109 chars
     - ID 1031: confidence=7/10, len=139 chars
     - ID 1030: confidence=8/10, len=126 chars
     - ID 1029: confidence=8/10, len=145 chars
     - ID 1028: confidence=9/10, len=126 chars
     - ID 1027: confidence=6/10, len=129 chars
     - ID 1026: confidence=7/10, len=116 chars
     - ID 1025: confidence=8/10, len=90 chars
     - ID 1024: confidence=8/10, len=70 chars
     - ID 1023: confidence=9/10, len=102 chars
     - ID 1022: confidence=6/10, len=109 chars
     - ID 1021: confidence=7/10, len=139 chars
     - ID 1020: confidence=8/10, len=132 chars
     - ID 1019: confidence=8/10, len=145 chars
     - ID 1018: confidence=9/10, len=126 chars
     - ID 1017: confidence=7/10, len=82 chars
     - ID 1016: confidence=8/10, len=128 chars
     - ID 1015: confidence=7/10, len=125 chars
     - ID 1014: confidence=8/10, len=108 chars
     - ID 1013: confidence=9/10, len=128 chars
     - ID 1012: confidence=6/10, len=99 chars
     - ID 1011: confidence=7/10, len=98 chars
     - ID 1010: confidence=8/10, len=80 chars
     - ID 1009: confidence=10/10, len=70 chars
     - ID 1008: confidence=9/10, len=108 chars
     - ID 1007: confidence=6/10, len=132 chars
     - ID 1006: confidence=7/10, len=124 chars
     - ID 1005: confidence=8/10, len=140 chars
     - ID 1004: confidence=8/10, len=104 chars
     - ID 1003: confidence=9/10, len=102 chars
     - ID 1002: confidence=7/10, len=109 chars
     - ID 1001: confidence=7/10, len=141 chars
     - ID 1000: confidence=8/10, len=110 chars
     - ID 999: confidence=8/10, len=119 chars
     - ID 998: confidence=9/10, len=85 chars
     - ID 997: confidence=6/10, len=109 chars
     - ID 996: confidence=7/10, len=118 chars
     - ID 995: confidence=7/10, len=121 chars
     - ID 994: confidence=8/10, len=112 chars
     - ID 993: confidence=9/10, len=131 chars
     - ID 992: confidence=8/10, len=139 chars
     - ID 991: confidence=7/10, len=77 chars
     - ID 990: confidence=7/10, len=106 chars
     - ID 989: confidence=8/10, len=114 chars
     - ID 988: confidence=9/10, len=107 chars
     - ID 987: confidence=7/10, len=107 chars
     - ID 986: confidence=7/10, len=108 chars
     - ID 985: confidence=8/10, len=79 chars
     - ID 984: confidence=8/10, len=109 chars
     - ID 983: confidence=9/10, len=92 chars
     - ID 982: confidence=8/10, len=96 chars
     - ID 981: confidence=8/10, len=114 chars/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(

     - ID 980: confidence=7/10, len=141 chars
     - ID 979: confidence=8/10, len=106 chars
     - ID 978: confidence=9/10, len=128 chars
     - ID 977: confidence=7/10, len=81 chars
     - ID 976: confidence=8/10, len=104 chars
     - ID 975: confidence=7/10, len=95 chars
     - ID 974: confidence=8/10, len=73 chars
     - ID 973: confidence=9/10, len=85 chars
     - ID 972: confidence=5/10, len=127 chars
     - ID 971: confidence=6/10, len=127 chars
     - ID 970: confidence=7/10, len=127 chars
     - ID 969: confidence=8/10, len=98 chars
     - ID 968: confidence=9/10, len=106 chars
     - ID 967: confidence=7/10, len=103 chars
     - ID 966: confidence=6/10, len=121 chars
     - ID 965: confidence=7/10, len=98 chars
     - ID 964: confidence=8/10, len=99 chars
     - ID 963: confidence=9/10, len=111 chars
     - ID 962: confidence=9/10, len=134 chars
     - ID 961: confidence=8/10, len=108 chars
     - ID 960: confidence=8/10, len=120 chars
     - ID 959: confidence=10/10, len=122 chars
     - ID 958: confidence=9/10, len=102 chars
     - ID 957: confidence=8/10, len=129 chars
     - ID 956: confidence=8/10, len=145 chars
     - ID 955: confidence=8/10, len=93 chars
     - ID 954: confidence=10/10, len=96 chars
     - ID 953: confidence=9/10, len=130 chars
     - ID 952: confidence=7/10, len=127 chars
     - ID 951: confidence=6/10, len=125 chars
     - ID 950: confidence=7/10, len=97 chars
     - ID 949: confidence=8/10, len=112 chars

[2/202] Initializing modules...
Loading embedding model: sentence-transformers/all-MiniLM-L6-v2...
✓ Embedding model loaded
   ✓ All modules initialized

================================================================================
PROPOSITION 1/200 - ID: 1137
================================================================================
Text: Arnav Sharma explores music options heavily influenced by his friends' recommendations....
Confidence: 7/10

  [Step 1/6] Generating interpretations...
    ✓ Generated 4 interpretations (701 tokens)
  [Step 2/6] Collecting answers...
    ✓ Collected 20 answers (6863 tokens)
  [Step 3/6] Clustering...
    ✓ Found 3 clusters (method: hdbscan)
      Silhouette: 0.204
  [Step 4/6] Calculating entropy...
    ✓ Entropy: 1.471 bits
      Ambiguous: True
      Interpretation: High - Significantly ambiguous, clarification needed
  [Step 5/6] Assessing urgency...
    ✓ Urgency: SOON
      Score: 0.496
      Reasoning: SOON: moderate ambiguity (entropy: 1.47 bits) (score: 0.50)
  [Step 6/6] Saving to database...
    ✓ Saved (Analysis ID: 83)

================================================================================
PROPOSITION 2/200 - ID: 1136
================================================================================
Text: Arnav Sharma deprioritizes the development of workflows in favor of immediate schoolwork....
Confidence: 7/10

  [Step 1/6] Generating interpretations...
    ✓ Generated 4 interpretations (686 tokens)
  [Step 2/6] Collecting answers...
    ✓ Collected 20 answers (6715 tokens)
  [Step 3/6] Clustering...
    ✓ Found 3 clusters (method: hdbscan)
      Silhouette: 0.285
  [Step 4/6] Calculating entropy...
    ✓ Entropy: 1.566 bits
      Ambiguous: True
      Interpretation: High - Significantly ambiguous, clarification needed
  [Step 5/6] Assessing urgency...
    ✓ Urgency: SOON
      Score: 0.528
      Reasoning: SOON: high ambiguity (entropy: 1.57 bits) (score: 0.53)
  [Step 6/6] Saving to database...
    ✓ Saved (Analysis ID: 84)

================================================================================
PROPOSITION 3/200 - ID: 1132
================================================================================
Text: Arnav Sharma has a preference for hip-hop and mainstream pop music....
Confidence: 7/10

  [Step 1/6] Generating interpretations...
    ✓ Generated 4 interpretations (638 tokens)
  [Step 2/6] Collecting answers...
    ✓ Collected 20 answers (6275 tokens)
  [Step 3/6] Clustering...
    ✓ Found 5 clusters (method: hdbscan)
      Silhouette: 0.340
  [Step 4/6] Calculating entropy...
    ✓ Entropy: 2.207 bits
      Ambiguous: True
      Interpretation: Very High - Highly ambiguous, urgent clarification needed
  [Step 5/6] Assessing urgency...
    ✓ Urgency: SOON
      Score: 0.508
      Reasoning: SOON: high ambiguity (entropy: 2.21 bits) (score: 0.51)
  [Step 6/6] Saving to database...
    ✓ Saved (Analysis ID: 85)

================================================================================
PROPOSITION 4/200 - ID: 1149
================================================================================
Text: Arnav prefers using the Spotify application for music engagement....
Confidence: 8/10

  [Step 1/6] Generating interpretations...
    ✓ Generated 3 interpretations (630 tokens)
  [Step 2/6] Collecting answers...
    ✓ Collected 15 answers (5077 tokens)
  [Step 3/6] Clustering...
    ✓ Found 2 clusters (method: hdbscan)
      Silhouette: 0.248
  [Step 4/6] Calculating entropy...
    ✓ Entropy: 0.971 bits
      Ambiguous: True
      Interpretation: Moderate - Ambiguous, clarification recommended
  [Step 5/6] Assessing urgency...
    ✓ Urgency: SOON
      Score: 0.402
      Reasoning: SOON: moderate ambiguity (entropy: 0.97 bits) + high confidence (8/10) (score: 0.40)
  [Step 6/6] Saving to database...
    ✓ Saved (Analysis ID: 86)

================================================================================
PROPOSITION 5/200 - ID: 1148
================================================================================
Text: Arnav Sharma is actively improving his workflow management system....
Confidence: 9/10

  [Step 1/6] Generating interpretations...
    ✓ Generated 4 interpretations (663 tokens)
  [Step 2/6] Collecting answers...
    ✓ Collected 20 answers (6415 tokens)
  [Step 3/6] Clustering...
    ✓ Found 2 clusters (method: hdbscan)
      Silhouette: 0.374
  [Step 4/6] Calculating entropy...
    ✓ Entropy: 0.811 bits
      Ambiguous: True
      Interpretation: Moderate - Ambiguous, clarification recommended
  [Step 5/6] Assessing urgency...
    ✓ Urgency: LATER
      Score: 0.308
      Reasoning: LATER: moderate ambiguity (entropy: 0.81 bits) + high confidence (9/10) (score: 0.31)
  [Step 6/6] Saving to database...
    ✓ Saved (Analysis ID: 87)

================================================================================
PROPOSITION 6/200 - ID: 1147
================================================================================
Text: Arnav Sharma has prioritized tasks that involve data organization and deduplication....
Confidence: 8/10

  [Step 1/6] Generating interpretations...
    ✓ Generated 4 interpretations (712 tokens)
  [Step 2/6] Collecting answers...
    ✓ Collected 20 answers (6968 tokens)
  [Step 3/6] Clustering...
    ✓ Found 5 clusters (method: hdbscan)
      Silhouette: 0.250
  [Step 4/6] Calculating entropy...
    ✓ Entropy: 2.278 bits
      Ambiguous: True
      Interpretation: Very High - Highly ambiguous, urgent clarification needed
  [Step 5/6] Assessing urgency...
    ✓ Urgency: SOON
      Score: 0.408
      Reasoning: SOON: high ambiguity (entropy: 2.28 bits) + high confidence (8/10) (score: 0.41)
  [Step 6/6] Saving to database...
    ✓ Saved (Analysis ID: 88)

================================================================================
PROPOSITION 7/200 - ID: 1146
================================================================================
Text: Arnav Sharma shows a preference for real-time collaboration and communication tools....
Confidence: 8/10

  [Step 1/6] Generating interpretations...
    ✓ Generated 4 interpretations (700 tokens)
  [Step 2/6] Collecting answers...
    ✓ Collected 20 answers (6889 tokens)
  [Step 3/6] Clustering...
    ✓ Found 4 clusters (method: hdbscan)
      Silhouette: 0.246
  [Step 4/6] Calculating entropy...
    ✓ Entropy: 1.959 bits
      Ambiguous: True
      Interpretation: Very High - Highly ambiguous, urgent clarification needed
  [Step 5/6] Assessing urgency...
    ✓ Urgency: SOON
      Score: 0.407
      Reasoning: SOON: high ambiguity (entropy: 1.96 bits) + high confidence (8/10) (score: 0.41)/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/arnavsharma/gum-elicitation/venv/lib/python3.13/site-packages/sklearn/utils/deprecation.py:132: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
